,epochINX,result,resultChar,winLEN,subject,ISI,paradigm
0,1,5,L,0.5,Toto,0.5,ssvep
1,1,6,↓,0.5,Toto,0.5,ssvep
2,2,6,↓,0.5,Toto,0.5,ssvep
3,1,12,+,0.5,Toto,0.5,ssvep
4,2,12,+,0.5,Toto,0.5,ssvep
5,3,12,+,0.5,Toto,0.5,ssvep
6,1,12,+,0.5,Toto,0.5,ssvep
7,2,12,+,0.5,Toto,0.5,ssvep
8,3,12,+,0.5,Toto,0.5,ssvep
9,4,12,+,0.5,Toto,0.5,ssvep
10,1,8,→,0.5,Toto,0.5,ssvep
11,1,10,Drag,0.5,Toto,0.5,ssvep
12,2,10,Drag,0.5,Toto,0.5,ssvep
13,1,10,Drag,0.5,Toto,0.5,ssvep
14,2,10,Drag,0.5,Toto,0.5,ssvep
15,3,10,Drag,0.5,Toto,0.5,ssvep
16,1,13,-,0.5,Toto,0.5,ssvep
17,2,13,-,0.5,Toto,0.5,ssvep
18,3,13,-,0.5,Toto,0.5,ssvep
19,4,13,-,0.5,Toto,0.5,ssvep
20,1,13,-,0.5,Toto,0.5,ssvep
21,1,12,+,0.5,Toto,0.5,ssvep
22,2,12,+,0.5,Toto,0.5,ssvep
23,1,12,+,0.5,Toto,0.5,ssvep
24,2,12,+,0.5,Toto,0.5,ssvep
25,3,12,+,0.5,Toto,0.5,ssvep
26,1,1,↖︎,0.5,Toto,0.5,ssvep
27,2,1,↖︎,0.5,Toto,0.5,ssvep
28,3,1,↖︎,0.5,Toto,0.5,ssvep
29,4,1,↖︎,0.5,Toto,0.5,ssvep
30,1,7,↗︎,0.5,Toto,0.5,ssvep
31,1,5,L,0.5,Toto,0.5,ssvep
32,2,5,L,0.5,Toto,0.5,ssvep
33,1,1,↖︎,0.5,Toto,0.5,ssvep
34,2,1,↖︎,0.5,Toto,0.5,ssvep
35,3,1,↖︎,0.5,Toto,0.5,ssvep
36,1,1,↖︎,0.5,Toto,0.5,ssvep
37,2,1,↖︎,0.5,Toto,0.5,ssvep
38,3,1,↖︎,0.5,Toto,0.5,ssvep
39,4,1,↖︎,0.5,Toto,0.5,ssvep
40,1,5,L,0.5,Toto,0.5,ssvep
41,1,9,↘︎,0.5,Toto,0.5,ssvep
42,2,9,↘︎,0.5,Toto,0.5,ssvep
43,1,9,↘︎,0.5,Toto,0.5,ssvep
