,epochINX,event,eventChar,result,resultChar,winLEN,blockINX,subject,ISI,paradigm
88,21,23,S,23,S,1.0,3,Toto,0.5,ssvep
89,22,43, ,43, ,1.0,3,Toto,0.5,ssvep
90,23,13,W,13,W,1.0,3,Toto,0.5,ssvep
91,24,22,A,22,A,1.0,3,Toto,0.5,ssvep
92,25,30,L,30,L,1.0,3,Toto,0.5,ssvep
93,26,29,K,29,K,1.0,3,Toto,0.5,ssvep
94,27,43, ,43, ,1.0,3,Toto,0.5,ssvep
95,28,37,B,37,B,1.0,3,Toto,0.5,ssvep
96,29,17,Y,17,Y,1.0,3,Toto,0.5,ssvep
97,30,43, ,43, ,1.0,3,Toto,0.5,ssvep
98,31,4,4,4,4,1.0,3,Toto,0.5,ssvep
99,32,43, ,43, ,1.0,3,Toto,0.5,ssvep
100,33,16,T,16,T,1.0,3,Toto,0.5,ssvep
101,34,15,R,15,R,1.0,3,Toto,0.5,ssvep
102,35,14,E,14,E,1.0,3,Toto,0.5,ssvep
103,36,14,E,14,E,1.0,3,Toto,0.5,ssvep
104,37,23,S,23,S,1.0,3,Toto,0.5,ssvep
105,38,41,.,12,Q,1.0,3,Toto,0.5,ssvep
106,39,31,↵,31,↵,1.0,3,Toto,0.5,ssvep
107,1,32,⇧,2,2,1.0,4,Toto,0.5,ssvep
108,2,36,V,36,V,1.0,4,Toto,0.5,ssvep
109,3,14,E,14,E,1.0,4,Toto,0.5,ssvep
110,4,34,X,34,X,1.0,4,Toto,0.5,ssvep
111,5,19,I,19,I,1.0,4,Toto,0.5,ssvep
112,6,38,N,38,N,1.0,4,Toto,0.5,ssvep
113,7,26,G,26,G,1.0,4,Toto,0.5,ssvep
114,8,43, ,43, ,1.0,4,Toto,0.5,ssvep
115,9,37,B,37,B,1.0,4,Toto,0.5,ssvep
116,10,18,U,19,I,1.0,4,Toto,0.5,ssvep
117,11,26,G,26,G,1.0,4,Toto,0.5,ssvep
118,12,23,S,23,S,1.0,4,Toto,0.5,ssvep
119,13,43, ,43, ,1.0,4,Toto,0.5,ssvep
120,14,20,O,20,O,1.0,4,Toto,0.5,ssvep
121,15,38,N,27,H,1.0,4,Toto,0.5,ssvep
122,16,43, ,43, ,1.0,4,Toto,0.5,ssvep
123,17,1,1,1,1,1.0,4,Toto,0.5,ssvep
124,18,43, ,43, ,1.0,4,Toto,0.5,ssvep
125,19,30,L,30,L,1.0,4,Toto,0.5,ssvep
126,20,14,E,14,E,1.0,4,Toto,0.5,ssvep
127,21,22,A,22,A,1.0,4,Toto,0.5,ssvep
128,22,25,F,25,F,1.0,4,Toto,0.5,ssvep
129,23,40,",",40,",",1.0,4,Toto,0.5,ssvep
130,24,43, ,43, ,1.0,4,Toto,0.5,ssvep
131,25,10,0,10,0,1.0,4,Toto,0.5,ssvep
132,26,43, ,43, ,1.0,4,Toto,0.5,ssvep
133,27,27,H,27,H,1.0,4,Toto,0.5,ssvep
134,28,22,A,22,A,1.0,4,Toto,0.5,ssvep
135,29,15,R,15,R,1.0,4,Toto,0.5,ssvep
136,30,39,M,39,M,1.0,4,Toto,0.5,ssvep
137,31,43, ,43, ,1.0,4,Toto,0.5,ssvep
138,32,24,D,24,D,1.0,4,Toto,0.5,ssvep
139,33,20,O,20,O,1.0,4,Toto,0.5,ssvep
140,34,38,N,38,N,1.0,4,Toto,0.5,ssvep
141,35,14,E,14,E,1.0,4,Toto,0.5,ssvep
142,36,41,.,41,.,1.0,4,Toto,0.5,ssvep
143,37,31,↵,31,↵,1.0,4,Toto,0.5,ssvep
144,1,7,7,7,7,1.0,5,Toto,0.5,ssvep
145,2,43, ,43, ,1.0,5,Toto,0.5,ssvep
146,3,27,H,27,H,1.0,5,Toto,0.5,ssvep
147,4,14,E,14,E,1.0,5,Toto,0.5,ssvep
148,5,38,N,38,N,1.0,5,Toto,0.5,ssvep
149,6,23,S,23,S,1.0,5,Toto,0.5,ssvep
150,7,43, ,43, ,1.0,5,Toto,0.5,ssvep
151,8,30,L,30,L,1.0,5,Toto,0.5,ssvep
152,9,22,A,22,A,1.0,5,Toto,0.5,ssvep
153,10,17,Y,17,Y,1.0,5,Toto,0.5,ssvep
154,11,43, ,43, ,1.0,5,Toto,0.5,ssvep
155,12,26,G,26,G,1.0,5,Toto,0.5,ssvep
156,13,20,O,20,O,1.0,5,Toto,0.5,ssvep
157,14,30,L,30,L,1.0,5,Toto,0.5,ssvep
158,15,24,D,24,D,1.0,5,Toto,0.5,ssvep
159,16,14,E,14,E,1.0,5,Toto,0.5,ssvep
160,17,38,N,40,",",1.0,5,Toto,0.5,ssvep
161,18,43, ,43, ,1.0,5,Toto,0.5,ssvep
162,19,14,E,14,E,1.0,5,Toto,0.5,ssvep
163,20,26,G,26,G,1.0,5,Toto,0.5,ssvep
164,21,26,G,26,G,1.0,5,Toto,0.5,ssvep
165,22,23,S,23,S,1.0,5,Toto,0.5,ssvep
166,23,40,",",40,",",1.0,5,Toto,0.5,ssvep
167,24,43, ,31,↵,1.0,5,Toto,0.5,ssvep
168,25,34,X,34,X,1.0,5,Toto,0.5,ssvep
169,26,43, ,43, ,1.0,5,Toto,0.5,ssvep
170,27,39,M,39,M,1.0,5,Toto,0.5,ssvep
171,28,22,A,22,A,1.0,5,Toto,0.5,ssvep
172,29,15,R,15,R,1.0,5,Toto,0.5,ssvep
173,30,29,K,29,K,1.0,5,Toto,0.5,ssvep
174,31,23,S,23,S,1.0,5,Toto,0.5,ssvep
175,32,43, ,43, ,1.0,5,Toto,0.5,ssvep
176,33,23,S,23,S,1.0,5,Toto,0.5,ssvep
177,34,21,P,21,P,1.0,5,Toto,0.5,ssvep
178,35,20,O,20,O,1.0,5,Toto,0.5,ssvep
179,36,16,T,10,0,1.0,5,Toto,0.5,ssvep
180,37,41,.,41,.,1.0,5,Toto,0.5,ssvep
181,38,31,↵,31,↵,1.0,5,Toto,0.5,ssvep
182,1,32,⇧,32,⇧,1.0,6,Toto,0.5,ssvep
183,2,13,W,13,W,1.0,6,Toto,0.5,ssvep
184,3,27,H,27,H,1.0,6,Toto,0.5,ssvep
185,4,17,Y,17,Y,1.0,6,Toto,0.5,ssvep
186,5,43, ,43, ,1.0,6,Toto,0.5,ssvep
187,6,24,D,30,L,1.0,6,Toto,0.5,ssvep
188,7,19,I,19,I,1.0,6,Toto,0.5,ssvep
189,8,24,D,24,D,1.0,6,Toto,0.5,ssvep
190,9,43, ,43, ,1.0,6,Toto,0.5,ssvep
191,10,18,U,18,U,1.0,6,Toto,0.5,ssvep
192,11,21,P,21,P,1.0,6,Toto,0.5,ssvep
193,12,16,T,16,T,1.0,6,Toto,0.5,ssvep
194,13,20,O,20,O,1.0,6,Toto,0.5,ssvep
195,14,38,N,38,N,1.0,6,Toto,0.5,ssvep
196,15,40,",",40,",",1.0,6,Toto,0.5,ssvep
197,16,43, ,43, ,1.0,6,Toto,0.5,ssvep
198,17,16,T,16,T,1.0,6,Toto,0.5,ssvep
199,18,27,H,27,H,1.0,6,Toto,0.5,ssvep
200,19,14,E,14,E,1.0,6,Toto,0.5,ssvep
201,20,43, ,43, ,1.0,6,Toto,0.5,ssvep
