,epochINX,result,resultChar,winLEN,subject,ISI,paradigm
84,2,13,-,0.4,Toto,0.5,ssvep
85,3,13,-,0.4,Toto,0.5,ssvep
86,1,11,R,0.4,Toto,0.5,ssvep
87,2,11,R,0.4,Toto,0.5,ssvep
88,3,11,R,0.4,Toto,0.5,ssvep
89,4,11,R,0.4,Toto,0.5,ssvep
90,1,2,←,0.4,Toto,0.5,ssvep
91,1,2,←,0.4,Toto,0.5,ssvep
92,2,2,←,0.4,Toto,0.5,ssvep
93,1,5,L,0.4,Toto,0.5,ssvep
94,2,5,L,0.4,Toto,0.5,ssvep
95,3,5,L,0.4,Toto,0.5,ssvep
96,1,2,←,0.4,Toto,0.5,ssvep
97,2,2,←,0.4,Toto,0.5,ssvep
98,3,2,←,0.4,Toto,0.5,ssvep
99,4,2,←,0.4,Toto,0.5,ssvep
100,1,12,+,0.4,Toto,0.5,ssvep
101,1,12,+,0.4,Toto,0.5,ssvep
102,2,12,+,0.4,Toto,0.5,ssvep
103,1,2,←,0.4,Toto,0.5,ssvep
104,2,2,←,0.4,Toto,0.5,ssvep
105,3,2,←,0.4,Toto,0.5,ssvep
106,1,6,↓,0.4,Toto,0.5,ssvep
107,2,6,↓,0.4,Toto,0.5,ssvep
108,3,6,↓,0.4,Toto,0.5,ssvep
109,4,6,↓,0.4,Toto,0.5,ssvep
110,1,1,↖︎,0.4,Toto,0.5,ssvep
111,1,9,↘︎,0.4,Toto,0.5,ssvep
112,2,9,↘︎,0.4,Toto,0.5,ssvep
113,1,5,L,0.4,Toto,0.5,ssvep
114,2,5,L,0.4,Toto,0.5,ssvep
115,3,5,L,0.4,Toto,0.5,ssvep
116,1,8,→,0.4,Toto,0.5,ssvep
117,2,8,→,0.4,Toto,0.5,ssvep
118,3,8,→,0.4,Toto,0.5,ssvep
119,4,8,→,0.4,Toto,0.5,ssvep
120,1,2,←,0.4,Toto,0.5,ssvep
121,1,13,-,0.4,Toto,0.5,ssvep
122,2,13,-,0.4,Toto,0.5,ssvep
123,1,5,L,0.4,Toto,0.5,ssvep
124,2,5,L,0.4,Toto,0.5,ssvep
125,3,5,L,0.4,Toto,0.5,ssvep
126,1,1,↖︎,0.4,Toto,0.5,ssvep
127,2,1,↖︎,0.4,Toto,0.5,ssvep
128,3,1,↖︎,0.4,Toto,0.5,ssvep
129,4,1,↖︎,0.4,Toto,0.5,ssvep
130,1,13,-,0.4,Toto,0.5,ssvep
131,1,9,↘︎,0.4,Toto,0.5,ssvep
132,2,9,↘︎,0.4,Toto,0.5,ssvep
133,1,9,↘︎,0.4,Toto,0.5,ssvep
134,2,9,↘︎,0.4,Toto,0.5,ssvep
135,3,9,↘︎,0.4,Toto,0.5,ssvep
136,1,3,↙︎,0.4,Toto,0.5,ssvep
137,2,3,↙︎,0.4,Toto,0.5,ssvep
138,3,3,↙︎,0.4,Toto,0.5,ssvep
139,4,3,↙︎,0.4,Toto,0.5,ssvep
140,1,2,←,0.4,Toto,0.5,ssvep
141,1,12,+,0.4,Toto,0.5,ssvep
142,2,12,+,0.4,Toto,0.5,ssvep
143,1,12,+,0.4,Toto,0.5,ssvep
144,2,12,+,0.4,Toto,0.5,ssvep
145,3,12,+,0.4,Toto,0.5,ssvep
146,1,12,+,0.4,Toto,0.5,ssvep
147,2,12,+,0.4,Toto,0.5,ssvep
148,3,12,+,0.4,Toto,0.5,ssvep
149,4,12,+,0.4,Toto,0.5,ssvep
150,1,6,↓,0.4,Toto,0.5,ssvep
151,1,7,↗︎,0.4,Toto,0.5,ssvep
152,2,7,↗︎,0.4,Toto,0.5,ssvep
153,1,11,R,0.4,Toto,0.5,ssvep
154,2,11,R,0.4,Toto,0.5,ssvep
155,3,11,R,0.4,Toto,0.5,ssvep
156,1,10,Drag,0.4,Toto,0.5,ssvep
157,2,10,Drag,0.4,Toto,0.5,ssvep
158,3,10,Drag,0.4,Toto,0.5,ssvep
159,4,10,Drag,0.4,Toto,0.5,ssvep
160,1,11,R,0.4,Toto,0.5,ssvep
161,1,5,L,0.4,Toto,0.5,ssvep
162,2,5,L,0.4,Toto,0.5,ssvep
163,1,6,↓,0.4,Toto,0.5,ssvep
164,2,6,↓,0.4,Toto,0.5,ssvep
165,3,6,↓,0.4,Toto,0.5,ssvep
166,1,5,L,0.4,Toto,0.5,ssvep
167,2,5,L,0.4,Toto,0.5,ssvep
168,3,5,L,0.4,Toto,0.5,ssvep
169,4,5,L,0.4,Toto,0.5,ssvep
170,1,6,↓,0.4,Toto,0.5,ssvep
171,1,10,Drag,0.4,Toto,0.5,ssvep
172,2,10,Drag,0.4,Toto,0.5,ssvep
173,1,5,L,0.4,Toto,0.5,ssvep
174,2,5,L,0.4,Toto,0.5,ssvep
175,3,5,L,0.4,Toto,0.5,ssvep
176,1,13,-,0.4,Toto,0.5,ssvep
177,2,13,-,0.4,Toto,0.5,ssvep
178,3,13,-,0.4,Toto,0.5,ssvep
179,4,13,-,0.4,Toto,0.5,ssvep
180,1,11,R,0.4,Toto,0.5,ssvep
181,1,13,-,0.4,Toto,0.5,ssvep
182,2,13,-,0.4,Toto,0.5,ssvep
183,1,6,↓,0.4,Toto,0.5,ssvep
184,2,6,↓,0.4,Toto,0.5,ssvep
185,3,6,↓,0.4,Toto,0.5,ssvep
186,1,3,↙︎,0.4,Toto,0.5,ssvep
187,2,3,↙︎,0.4,Toto,0.5,ssvep
188,3,3,↙︎,0.4,Toto,0.5,ssvep
189,4,3,↙︎,0.4,Toto,0.5,ssvep
190,1,4,↑,0.4,Toto,0.5,ssvep
191,1,3,↙︎,0.4,Toto,0.5,ssvep
192,2,3,↙︎,0.4,Toto,0.5,ssvep
193,1,2,←,0.4,Toto,0.5,ssvep
194,2,2,←,0.4,Toto,0.5,ssvep
195,3,2,←,0.4,Toto,0.5,ssvep
196,1,12,+,0.4,Toto,0.5,ssvep
197,2,12,+,0.4,Toto,0.5,ssvep
198,3,12,+,0.4,Toto,0.5,ssvep
199,4,12,+,0.4,Toto,0.5,ssvep
200,1,1,↖︎,0.4,Toto,0.5,ssvep
201,1,1,↖︎,0.4,Toto,0.5,ssvep
202,2,1,↖︎,0.4,Toto,0.5,ssvep
203,1,11,R,0.4,Toto,0.5,ssvep
204,2,11,R,0.4,Toto,0.5,ssvep
205,3,11,R,0.4,Toto,0.5,ssvep
206,1,13,-,0.4,Toto,0.5,ssvep
207,2,13,-,0.4,Toto,0.5,ssvep
208,3,13,-,0.4,Toto,0.5,ssvep
209,4,13,-,0.4,Toto,0.5,ssvep
210,1,13,-,0.4,Toto,0.5,ssvep
211,1,13,-,0.4,Toto,0.5,ssvep
212,2,13,-,0.4,Toto,0.5,ssvep
213,1,8,→,0.4,Toto,0.5,ssvep
214,2,8,→,0.4,Toto,0.5,ssvep
