,subject,Window Length,Accuracy,paradigm,cv,ITR,Individual Accuracies
26,Jacklyn 3,0.7,1.0,ssvep,2,185.0219859070546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
27,Jacklyn 3,0.8,1.0,ssvep,2,170.7895254526658,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
28,Jacklyn 3,0.9,1.0,ssvep,2,158.59027363461826,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
29,Jacklyn 3,1.0,1.0,ssvep,2,148.0175887256437,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
30,Jacklyn 3,0.1,0.8461538461538461,ssvep,3,252.9524831043689,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
31,Jacklyn 3,0.2,1.0,ssvep,3,317.1805472692365,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
32,Jacklyn 3,0.3,1.0,ssvep,3,277.5329788605819,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
33,Jacklyn 3,0.4,1.0,ssvep,3,246.69598120940614,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
34,Jacklyn 3,0.5,1.0,ssvep,3,222.02638308846554,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
35,Jacklyn 3,0.6,1.0,ssvep,3,201.84216644405956,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
36,Jacklyn 3,0.7,1.0,ssvep,3,185.0219859070546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
37,Jacklyn 3,0.8,1.0,ssvep,3,170.7895254526658,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
38,Jacklyn 3,0.9,1.0,ssvep,3,158.59027363461826,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
39,Jacklyn 3,1.0,1.0,ssvep,3,148.0175887256437,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
40,Jacklyn 3,0.1,0.6153846153846154,ssvep,4,136.03713823716177,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
41,Jacklyn 3,0.2,0.9230769230769231,ssvep,4,260.00826928307293,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
42,Jacklyn 3,0.3,1.0,ssvep,4,277.5329788605819,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
43,Jacklyn 3,0.4,1.0,ssvep,4,246.69598120940614,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
44,Jacklyn 3,0.5,1.0,ssvep,4,222.02638308846554,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
45,Jacklyn 3,0.6,1.0,ssvep,4,201.84216644405956,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
46,Jacklyn 3,0.7,1.0,ssvep,4,185.0219859070546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
47,Jacklyn 3,0.8,1.0,ssvep,4,170.7895254526658,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
48,Jacklyn 3,0.9,1.0,ssvep,4,158.59027363461826,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
49,Jacklyn 3,1.0,1.0,ssvep,4,148.0175887256437,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
